surface,candidate_lemmas,wordnet_exact,parts_of_speech,default_action,reason
following,follow,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside follow.
accessories,accessory,no,,standalone,No supported inflection rule safely maps this word to accessory.
downloads,download,no,,standalone,No supported inflection rule safely maps this word to download.
advertising,advertise,yes,NN|VBG,standalone,WordNet records an independent sense alongside advertise.
registered,register,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside register.
published,publish,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside publish.
according,accord,yes,VBG,standalone,WordNet records an independent sense alongside accord.
communications,communication,yes,NNS|NN,standalone,WordNet records an independent sense alongside communication.
associated,associate,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside associate.
operating,operate,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside operate.
developed,develop,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside develop.
operations,operation,yes,NNS,standalone,WordNet records an independent sense alongside operation.
considered,consider,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside consider.
processing,process,yes,NN|VBG,standalone,WordNet records an independent sense alongside process.
relations,relation,yes,NNS,standalone,WordNet records an independent sense alongside relation.
completed,complete,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside complete.
recommended,recommend,no,VBD|VBN|JJ,standalone,Past-tense form has an independent lexical role alongside recommend.
trademarks,trademark,no,,standalone,No supported inflection rule safely maps this word to trademark.
interested,interest,yes,JJ|VBD|VBN,standalone,WordNet records an independent sense alongside interest.
established,establish,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside establish.
programming,program,yes,NN|VBG,standalone,WordNet records an independent sense alongside program.
instructions,instruction,yes,NNS,standalone,WordNet records an independent sense alongside instruction.
increased,increase,yes,VBN|JJ|VB|VBD,standalone,WordNet records an independent sense alongside increase.
understanding,understand,yes,NN|VBG|JJ,standalone,WordNet records an independent sense alongside understand.
beginning,begin,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside begin.
specified,specify,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside specify.
interesting,interest,yes,JJ,standalone,WordNet records an independent sense alongside interest.
networking,network,no,NN|VBG,standalone,Participle has an independent lexical role alongside network.
described,describe,yes,VBN|VBD,standalone,WordNet records an independent sense alongside describe.
publishing,publish,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside publish.
developing,develop,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside develop.
monitoring,monitor,yes,NN|VBG,standalone,WordNet records an independent sense alongside monitor.
accounting,account,yes,NN|VBG|JJ,standalone,WordNet records an independent sense alongside account.
manufacturing,manufacture,yes,NN|VBG,standalone,WordNet records an independent sense alongside manufacture.
continued,continue,yes,VBD|JJ|VBN,standalone,WordNet records an independent sense alongside continue.
classifieds,classified,no,,standalone,No supported inflection rule safely maps this word to classified.
supported,support,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside support.
reporting,report,yes,VBG|NN,standalone,WordNet records an independent sense alongside report.
designated,designate,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside designate.
integrated,integrate,yes,VBN|JJ,standalone,WordNet records an independent sense alongside integrate.
certified,certify,yes,,standalone,WordNet records an independent sense alongside certify.
computing,compute,yes,VBG|NN,standalone,WordNet records an independent sense alongside compute.
determined,determine,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside determine.
dedicated,dedicate,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside dedicate.
identified,identify,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside identify.
newsletters,newsletter,no,,standalone,No supported inflection rule safely maps this word to newsletter.
estimated,estimate,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside estimate.
installed,install,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside install.
provisions,provision,yes,NNS,standalone,WordNet records an independent sense alongside provision.
consulting,consult,no,NN|JJ|VBG,standalone,Participle has an independent lexical role alongside consult.
protected,protect,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside protect.
contained,contain,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside contain.
parameters,parameter,no,,standalone,No supported inflection rule safely maps this word to parameter.
recording,record,yes,NN|VBG,standalone,WordNet records an independent sense alongside record.
announced,announce,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside announce.
maintained,maintain,yes,VBN|VBD,standalone,WordNet records an independent sense alongside maintain.
increasing,increase,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside increase.
connected,connect,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside connect.
guaranteed,guarantee,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside guarantee.
distributed,distribute,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside distribute.
americans,american,no,,standalone,No supported inflection rule safely maps this word to american.
suggested,suggest,no,VBD|VBN|JJ,standalone,Past-tense form has an independent lexical role alongside suggest.
concerned,concern,yes,VBN|JJ|VB|VBD,standalone,WordNet records an independent sense alongside concern.
continuing,continue,yes,VBG|JJ,standalone,WordNet records an independent sense alongside continue.
receiving,receive,no,VBG|NN,standalone,Participle has an independent lexical role alongside receive.
expressed,express,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside express.
requested,request,yes,VBD|VBN,standalone,WordNet records an independent sense alongside request.
personals,personal,no,,standalone,No supported inflection rule safely maps this word to personal.
supporting,support,yes,VBG|JJ,standalone,WordNet records an independent sense alongside support.
experienced,experience,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside experience.
searching,search,yes,VBG|NN,standalone,WordNet records an independent sense alongside search.
contracts,contract,no,NNS|NN|VBZ,standalone,Plural form has an independent lexical role alongside contract.
circumstances,circumstance,yes,NNS,standalone,WordNet records an independent sense alongside circumstance.
controlled,control,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside control.
authorities,authority,yes,NNS,standalone,WordNet records an independent sense alongside authority.
transactions,transaction,yes,NNS,standalone,WordNet records an independent sense alongside transaction.
authorized,authorize,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside authorize.
financing,finance,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside finance.
qualified,qualify,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside qualify.
classified,classify,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside classify.
indicated,indicate,no,VBD|JJ|VBN,standalone,Past-tense form has an independent lexical role alongside indicate.
resulting,result,no,VBG|JJ,standalone,Participle has an independent lexical role alongside result.
committed,commit,yes,VBN|JJ|VB|VBD,standalone,WordNet records an independent sense alongside commit.
remaining,remain,yes,VBG|JJ,standalone,WordNet records an independent sense alongside remain.
purchased,purchase,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside purchase.
performing,perform,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside perform.
collected,collect,yes,VBN|VBD,standalone,WordNet records an independent sense alongside collect.
scheduled,schedule,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside schedule.
packaging,package,yes,NN|VBG,standalone,WordNet records an independent sense alongside package.
preferred,prefer,yes,JJ|VBD|VBG|VBN,standalone,WordNet records an independent sense alongside prefer.
listening,listen,yes,VBG|NN,standalone,WordNet records an independent sense alongside listen.
implemented,implement,yes,VBN|VBD,standalone,WordNet records an independent sense alongside implement.
directories,directory,no,,standalone,No supported inflection rule safely maps this word to directory.
recognized,recognize,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside recognize.
licensing,license,no,NN|VBG|JJ,standalone,Participle has an independent lexical role alongside license.
templates,template,no,,standalone,No supported inflection rule safely maps this word to template.
